fl_date	mkt_unique_carrier	branded_code_share	mkt_carrier	mkt_carrier_fl_num	op_unique_carrier	tail_num	op_carrier_fl_num	origin_airport_id	origin	origin_city_name	dest_airport_id	dest	dest_city_name	crs_dep_time	dep_time	dep_delay	taxi_out	wheels_off	wheels_on	taxi_in	crs_arr_time	arr_time	arr_delay	cancelled	cancellation_code	diverted	dup	crs_elapsed_time	actual_elapsed_time	air_time	flights	distance	carrier_delay	weather_delay	nas_delay	security_delay	late_aircraft_delay	first_dep_time	total_add_gtime	longest_add_gtime	no_name
2019-09-26	HA	HA	HA	274	HA	N492HA	274	12982	LIH	Lihue, HI	12173	HNL	Honolulu, HI	1355	1350	-5	18	1408	1432	6	1432	1438	6	0		0	N	37	48	24	1	102									
2019-07-04	UA	UA	UA	1284	UA	N12238	1284	12266	IAH	Houston, TX	12953	LGA	New York, NY	1720	1716	-4	10	1726	2121	12	2153	2133	-20	0		0	N	213	197	175	1	1416									
2018-01-13	DL	DL	DL	1082	DL	N360NB	1082	11433	DTW	Detroit, MI	10721	BOS	Boston, MA	2036	2034	-2	32	2106	2227	7	2239	2234	-5	0		0	N	123	120	81	1	632									
2019-08-31	AA	AA_CODESHARE	AA	5027	OH	N550NN	5027	11193	CVG	Cincinnati, OH	11057	CLT	Charlotte, NC	843	840	-3	21	901	1008	11	1031	1019	-12	0		0	N	108	99	67	1	335									
2019-09-15	AA	AA	AA	884	AA	N580UW	884	11057	CLT	Charlotte, NC	14771	SFO	San Francisco, CA	1130	1152	22	29	1221	1401	4	1357	1405	8	0		0	N	327	313	280	1	2296									
2018-01-05	WN	WN	WN	367	WN	N737JW	367	14057	PDX	Portland, OR	14771	SFO	San Francisco, CA	1150	1155	5	13	1208	1339	5	1340	1344	4	0		0	N	110	109	91	1	550									
2018-04-17	AA	AA_CODESHARE	AA	3665	MQ	N260NN	3665	13930	ORD	Chicago, IL	15096	SYR	Syracuse, NY	1150	1147	-3	19	1206	1427	3	1438	1430	-8	0		0	N	108	103	81	1	607									
2018-04-09	AS	AS_CODESHARE	AS	2476	QX	N421QX	2476	12892	LAX	Los Angeles, CA	15023	STS	Santa Rosa, CA	1419	1410	-9	14	1424	1539	3	1604	1542	-22	0		0	N	105	92	75	1	400									
2019-04-20	DL	DL	DL	1622	DL	N394DA	1622	14747	SEA	Seattle, WA	14107	PHX	Phoenix, AZ	745	740	-5	42	822	1049	4	1038	1053	15	0		0	N	173	193	147	1	1107	0	0	15	0	0				
2019-11-02	WN	WN	WN	3610	WN	N913WN	3610	12953	LGA	New York, NY	13232	MDW	Chicago, IL	1755	1746	-9	11	1757	1850	9	1920	1859	-21	0		0	N	145	133	113	1	725									
