,arr_delay
1055,37.0
1056,-12.0
1057,-9.0
1058,52.0
1059,30.0
1060,-1.0
1061,96.0
1062,-13.0
1063,4.0
1064,-19.0
1065,
1066,-3.0
1067,34.0
1068,10.0
1069,-10.0
1070,-7.0
1071,19.0
1072,21.0
1073,3.0
1074,13.0
1075,82.0
1076,-23.0
1077,-6.0
1078,-1.0
1079,-12.0
1080,-15.0
1081,22.0
1082,33.0
1083,-40.0
1084,-8.0
1085,-18.0
1086,-15.0
1087,-21.0
1088,-15.0
1089,-17.0
1090,-13.0
1091,3.0
1092,-7.0
1093,13.0
1094,40.0
1095,-6.0
1096,0.0
1097,-6.0
1098,139.0
1099,-12.0
1100,44.0
1101,-9.0
1102,61.0
1103,-4.0
1104,7.0
1105,-2.0
1106,11.0
1107,9.0
1108,-1.0
1109,-14.0
1110,187.0
1111,7.0
1112,24.0
1113,23.0
1114,26.0
1115,-15.0
1116,67.0
1117,9.0
1118,10.0
1119,-5.0
1120,-26.0
1121,-10.0
1122,-14.0
1123,16.0
1124,-5.0
1125,-4.0
1126,-4.0
1127,-5.0
1128,25.0
1129,-12.0
1130,24.0
1131,18.0
1132,11.0
1133,-10.0
1134,-26.0
1135,-14.0
1136,48.0
1137,-6.0
1138,6.0
1139,-15.0
1140,-14.0
1141,32.0
1142,5.0
1143,233.0
1144,-15.0
1145,-6.0
1146,79.0
1147,11.0
1148,-33.0
1149,-23.0
1150,-9.0
1151,-22.0
1152,-17.0
1153,-12.0
1154,-19.0
1155,-13.0
1156,-18.0
1157,25.0
1158,18.0
1159,19.0
1160,131.0
1161,-4.0
1162,-2.0
1163,-8.0
1164,-14.0
1165,139.0
1166,-3.0
1167,40.0
1168,-3.0
1169,-26.0
1170,-16.0
1171,-20.0
1172,15.0
1173,-12.0
1174,80.0
1175,-5.0
1176,-21.0
1177,-15.0
1178,-1.0
1179,11.0
1180,-16.0
1181,2.0
1182,-9.0
1183,0.0
1184,-5.0
1185,14.0
1186,14.0
1187,2.0
1188,17.0
1189,-13.0
1190,-18.0
1191,-8.0
1192,43.0
1193,-17.0
1194,-3.0
1195,26.0
1196,7.0
1197,-15.0
1198,-17.0
1199,-17.0
1200,-18.0
1201,17.0
1202,-10.0
1203,83.0
1204,2.0
1205,8.0
1206,-8.0
1207,-22.0
1208,-27.0
1209,-24.0
1210,-2.0
1211,7.0
1212,37.0
1213,-10.0
1214,-10.0
1215,5.0
1216,28.0
1217,-18.0
1218,1.0
1219,-4.0
1220,35.0
1221,-7.0
1222,-20.0
1223,-23.0
1224,37.0
1225,-8.0
1226,32.0
1227,40.0
1228,-9.0
1229,-27.0
1230,68.0
1231,-16.0
1232,2.0
1233,-19.0
1234,142.0
1235,-17.0
1236,-6.0
1237,-21.0
1238,-17.0
1239,-35.0
1240,-16.0
1241,63.0
1242,-5.0
1243,-15.0
1244,106.0
1245,-3.0
1246,31.0
1247,19.0
1248,-11.0
1249,-1.0
1250,-8.0
1251,-16.0
1252,-10.0
1253,56.0
1254,-12.0
1255,-18.0
1256,71.0
1257,-1.0
1258,1.0
1259,19.0
1260,9.0
1261,-21.0
1262,-4.0
1263,-18.0
1264,-11.0
1265,-4.0
1266,-11.0
1267,-7.0
1268,-10.0
1269,2.0
1270,-2.0
1271,-17.0
1272,-3.0
1273,-3.0
1274,-13.0
1275,79.0
1276,42.0
1277,-20.0
1278,-13.0
1279,5.0
1280,-10.0
1281,-11.0
1282,7.0
1283,24.0
1284,-33.0
1285,-6.0
1286,-6.0
1287,28.0
1288,103.0
1289,-12.0
1290,-4.0
1291,-11.0
1292,-24.0
1293,4.0
1294,19.0
1295,21.0
1296,156.0
1297,-16.0
1298,-26.0
1299,32.0
1300,-12.0
1301,-6.0
1302,-10.0
1303,2.0
1304,-21.0
1305,-12.0
1306,-10.0
1307,-14.0
1308,-21.0
1309,-6.0
1310,0.0
1311,-16.0
1312,-7.0
1313,-16.0
1314,1.0
1315,1.0
1316,37.0
1317,26.0
1318,-18.0
1319,-21.0
1320,3.0
1321,-17.0
1322,-7.0
1323,-26.0
1324,-10.0
1325,-8.0
1326,-4.0
1327,10.0
1328,-27.0
1329,6.0
1330,9.0
1331,5.0
1332,7.0
1333,-18.0
1334,-7.0
1335,-10.0
1336,0.0
1337,-13.0
1338,25.0
1339,-14.0
1340,-18.0
1341,-13.0
1342,-3.0
1343,-23.0
1344,-21.0
1345,-19.0
1346,-20.0
1347,108.0
1348,-2.0
1349,17.0
1350,-27.0
1351,-7.0
1352,-10.0
1353,-13.0
1354,16.0
1355,14.0
1356,-15.0
1357,-23.0
1358,-8.0
1359,9.0
1360,7.0
1361,-11.0
1362,-12.0
1363,-16.0
1364,18.0
1365,-13.0
1366,-19.0
1367,31.0
1368,309.0
1369,10.0
1370,-5.0
1371,-2.0
1372,69.0
1373,-17.0
1374,-20.0
1375,62.0
1376,-2.0
1377,-2.0
1378,178.0
1379,0.0
1380,-10.0
1381,-35.0
1382,-5.0
1383,-6.0
1384,-17.0
1385,4.0
1386,-9.0
1387,-16.0
1388,-9.0
1389,-18.0
1390,-11.0
1391,137.0
1392,-9.0
1393,2.0
1394,-23.0
1395,24.0
1396,12.0
1397,
1398,71.0
1399,-8.0
1400,-3.0
1401,-9.0
1402,-14.0
1403,-19.0
1404,-20.0
1405,-19.0
1406,520.0
1407,-11.0
1408,-4.0
1409,-25.0
1410,-33.0
1411,-39.0
1412,17.0
1413,5.0
1414,-30.0
1415,6.0
1416,157.0
1417,-29.0
1418,26.0
1419,46.0
1420,5.0
1421,12.0
1422,15.0
1423,-12.0
1424,0.0
1425,12.0
1426,129.0
1427,-5.0
1428,-13.0
1429,-6.0
1430,189.0
1431,-5.0
1432,16.0
1433,-7.0
1434,-8.0
1435,3.0
1436,-5.0
1437,5.0
1438,-20.0
1439,133.0
1440,-13.0
1441,-6.0
1442,-8.0
1443,-5.0
1444,-19.0
1445,5.0
1446,14.0
1447,-14.0
1448,-8.0
1449,-22.0
1450,-13.0
1451,-16.0
1452,15.0
1453,-2.0
1454,16.0
1455,-18.0
1456,76.0
